,S.NO,Insurance Name,Age,Profile,Government/Private,Health Condition,Coverage
575,575,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,3000000
576,576,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,3000000
577,577,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,3000000
578,578,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,3000000
579,579,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,3000000
580,580,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,3000000
581,581,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,3000000
582,582,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,3000000
583,583,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,3000000
584,584,Activ Fit Preferred,18-75,Self and Spouse and 2Kids,Private,Others,3000000
585,585,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,3000000
586,586,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,3000000
587,587,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,3000000
588,588,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,3000000
589,589,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,3000000
590,590,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,3000000
591,591,Activ Fit Preferred,18-75,Self and Spouse and 1Kid,Private,Others,3000000
592,592,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,3000000
593,593,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,3000000
594,594,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,3000000
595,595,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,3000000
596,596,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse,Private,Others,3000000
597,597,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse,Private,Others,3000000
598,598,Activ Fit Preferred,18-75,Self and Spouse,Private,Others,3000000
599,599,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,3000000
600,600,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Diabetes,3000000
601,601,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,3000000
602,602,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Hypertension,3000000
603,603,Activ Fit Plus by Aditya Birla,18-75,Self,Private,Others,3000000
604,604,Activ Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,3000000
605,605,Activ Fit Preferred,18-75,Self,Private,Others,3000000
606,606,Activ One economy by Aditya Birla,18-75,Parents,Private,Others,2000000
607,607,Avtiv One by Aditya Birla,18-75,Parents,Private,Others,2000000
608,608,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,2000000
609,609,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,2000000
610,610,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,2000000
611,611,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,2000000
612,612,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,2000000
613,613,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,2000000
614,614,Activ Fit Preferred,18-75,Self and Spouse and 2Kids,Private,Others,2000000
615,615,Activ One by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,2000000
616,616,Activ One economy by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,2000000
617,617,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,2000000
618,618,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,2000000
619,619,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,2000000
620,620,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,2000000
621,621,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,2000000
622,622,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,2000000
623,623,Activ Fit Preferred,18-75,Self and Spouse and 1Kid,Private,Others,2000000
624,624,Activ One by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,2000000
625,625,Activ One economy by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,2000000
626,626,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,2000000
627,627,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,2000000
628,628,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,2000000
629,629,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,2000000
630,630,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse,Private,Others,2000000
631,631,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse,Private,Others,2000000
632,632,Activ Fit Preferred,18-75,Self and Spouse,Private,Others,2000000
633,633,Activ One by Aditya Birla,18-75,Self and Spouse,Private,Others,2000000
634,634,Activ One economy by Aditya Birla,18-75,Self and Spouse,Private,Others,2000000
635,635,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,2000000
636,636,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,2000000
637,637,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,2000000
638,638,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,2000000
639,639,Activ One economy by Aditya Birla,18-75,Self,Private,Others,2000000
640,640,Activ One by Aditya Birla,18-75,Self,Private,Others,2000000
641,641,Activ One VYLT(Diabetes) by Aditya Birla,18-75,Self,Private,Diabetes,2000000
642,642,Activ One VYLT(Hypertension) by Aditya Birla,18-75,Self,Private,Hypertension,2000000
643,643,Activ One VYLT(PTCA) by Aditya Birla,18-75,Self,Private,Others,2000000
644,644,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self,Private,Others,2000000
645,645,Active Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,2000000
646,646,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,2000000
647,647,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Diabetes,2000000
648,648,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,2000000
649,649,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Hypertension,2000000
650,650,Activ One economy by Aditya Birla,18-75,Self,Private,Others,5000000
651,651,Activ One by Aditya Birla,18-75,Self,Private,Others,5000000
652,652,Activ One VYLT(Diabetes) by Aditya Birla,18-75,Self,Private,Diabetes,5000000
653,653,Activ One VYLT(Hypertension) by Aditya Birla,18-75,Self,Private,Hypertension,5000000
654,654,Activ One VYLT(PTCA) by Aditya Birla,18-75,Self,Private,Others,5000000
655,655,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self,Private,Others,5000000
656,656,Active Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,5000000
657,657,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,5000000
658,658,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Diabetes,5000000
659,659,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,5000000
660,660,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Hypertension,5000000
661,661,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse,Private,Others,5000000
662,662,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse,Private,Others,5000000
663,663,Activ Fit Preferred,18-75,Self and Spouse,Private,Others,5000000
664,664,Activ One by Aditya Birla,18-75,Self and Spouse,Private,Others,5000000
665,665,Activ One economy by Aditya Birla,18-75,Self and Spouse,Private,Others,5000000
666,666,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,5000000
667,667,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,5000000
668,668,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,5000000
669,669,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,5000000
670,670,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,5000000
671,671,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,5000000
672,672,Activ Fit Preferred,18-75,Self and Spouse and 1Kid,Private,Others,5000000
673,673,Activ One by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,5000000
674,674,Activ One economy by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,5000000
675,675,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,5000000
676,676,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,5000000
677,677,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,5000000
678,678,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,5000000
679,679,Activ Fit Plus by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,5000000
680,680,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,5000000
681,681,Activ Fit Preferred,18-75,Self and Spouse and 2Kids,Private,Others,5000000
682,682,Activ One by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,5000000
683,683,Activ One economy by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,5000000
684,684,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,5000000
685,685,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,5000000
686,686,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,5000000
687,687,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,5000000
688,688,Activ One economy by Aditya Birla,18-75,Parents,Private,Others,5000000
689,689,Avtiv One by Aditya Birla,18-75,Parents,Private,Others,5000000
690,690,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,5000000
691,691,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,5000000
692,692,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,5000000
693,693,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,5000000
694,694,Activ One by Aditya Birla,18-75,Senior Citizen,Private,Others,5000000
695,695,Activ One VYTL(Hypertension) by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,5000000
696,696,Activ One VYTL(PTCA) by Aditya Birla,18-75,Senior Citizen,Private,Others,5000000
697,697,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,5000000
698,698,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,5000000
699,699,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,5000000
700,700,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,5000000
701,701,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,5000000
702,702,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,5000000
703,703,Activ Health VYLT(Diabetes) by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,5000000
704,704,Activ One economy by Aditya Birla,18-75,Self,Private,Others,10000000
705,705,Activ One by Aditya Birla,18-75,Self,Private,Others,10000000
706,706,Activ One VYLT(Diabetes) by Aditya Birla,18-75,Self,Private,Diabetes,10000000
707,707,Activ One VYLT(Hypertension) by Aditya Birla,18-75,Self,Private,Hypertension,10000000
708,708,Activ One VYLT(PTCA) by Aditya Birla,18-75,Self,Private,Others,10000000
709,709,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self,Private,Others,10000000
710,710,Active Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,10000000
711,711,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,10000000
712,712,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Diabetes,10000000
713,713,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,10000000
714,714,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Hypertension,10000000
715,715,1 cr Sum Assured by Aditya Birla,18-75,Self,Private,Others,10000000
716,716,Activ One economy by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
717,717,Activ One by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
718,718,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
719,719,Active Assure - Diamond by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
720,720,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,10000000
721,721,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,10000000
722,722,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,10000000
723,723,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,10000000
724,724,1 cr Sum Assured by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
725,725,Active Fit Preferred by Aditya Birla,18-75,Self and Spouse,Private,Others,10000000
726,726,Activ One economy by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
727,727,Activ One by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
728,728,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
729,729,Active Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
730,730,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,10000000
731,731,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,10000000
732,732,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,10000000
733,733,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,10000000
734,734,1 cr Sum Assured by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
735,735,Active Fit Preferred by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,10000000
736,736,Activ One economy by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
737,737,Activ One by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
738,738,Activ Fit Plus by Aditya Birla by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
739,739,Active Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
740,740,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,10000000
741,741,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,10000000
742,742,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,10000000
743,743,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,10000000
744,744,1 cr Sum Assured by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
745,745,Active Fit Preferred by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,10000000
746,746,Activ One economy by Aditya Birla,18-75,Parents,Private,Others,10000000
747,747,Activ One by Aditya Birla,18-75,Parents,Private,Others,10000000
748,748,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,10000000
749,749,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,10000000
750,750,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,10000000
751,751,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,10000000
752,752,Activ One by Aditya Birla,18-75,Self,Private,Others,10000000
753,753,Activ One VYLT(Diabetes) by Aditya Birla,18-75,Self,Private,Diabetes,10000000
754,754,Activ One VYLT(Hypertension) by Aditya Birla,18-75,Self,Private,Hypertension,10000000
755,755,Activ One VYLT(PTCA) by Aditya Birla,18-75,Self,Private,Others,10000000
756,756,Active Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,10000000
757,757,1 cr Sum Assured by Aditya Birla,18-75,Self,Private,Others,10000000
758,758,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,10000000
759,759,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,10000000
760,760,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,10000000
761,761,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,10000000
762,762,Activ One by Aditya Birla,18-75,Senior Citizen,Private,Others,10000000
763,763,Activ One VYTL(Hypertension) by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,10000000
764,764,Activ One VYTL(PTCA) by Aditya Birla,18-75,Senior Citizen,Private,Others,10000000
765,765,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,10000000
766,766,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,10000000
767,767,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,10000000
768,768,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,10000000
769,769,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,10000000
770,770,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,10000000
771,771,Activ Health VYLT(Diabetes) by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,10000000
772,772,Activ One by Aditya Birla,18-75,Senior Citizen,Private,Others,20000000
773,773,Activ One VYTL(Hypertension) by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,20000000
774,774,Activ One VYTL(PTCA) by Aditya Birla,18-75,Senior Citizen,Private,Others,20000000
775,775,Activ Health VYLT(Diabetes) by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,20000000
776,776,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,20000000
777,777,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,20000000
778,778,Activ One economy by Aditya Birla,18-75,Parents,Private,Others,20000000
779,779,Activ One by Aditya Birla,18-75,Parents,Private,Others,20000000
780,780,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,20000000
781,781,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,20000000
782,782,Activ One economy by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,20000000
783,783,Activ One by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,20000000
784,784,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,20000000
785,785,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,20000000
786,786,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Others,20000000
787,787,Activ One economy by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,20000000
788,788,Activ One by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,20000000
789,789,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,20000000
790,790,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,20000000
791,791,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Others,20000000
792,792,Activ One economy by Aditya Birla,18-75,Self and Spouse,Private,Others,20000000
793,793,Activ One by Aditya Birla,18-75,Self and Spouse,Private,Others,20000000
794,794,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,20000000
795,795,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,20000000
796,796,Activ Assure - Diamond by Aditya Birla,18-75,Self and Spouse,Private,Others,20000000
797,797,Activ One economy by Aditya Birla,18-75,Self,Private,Others,20000000
798,798,Activ One by Aditya Birla,18-75,Self,Private,Others,20000000
799,799,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,20000000
800,800,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,20000000
801,801,Activ Assure - Diamond by Aditya Birla,18-75,Self,Private,Others,20000000
802,802,Activ One VYTL(Hypertension) by Aditya Birla,18-75,Self,Private,Hypertension,20000000
803,803,Activ One VYTL(PTCA) by Aditya Birla,18-75,Self,Private,Others,20000000
804,804,Activ Health VYLT(Diabetes) by Aditya Birla,18-75,Self,Private,Diabetes,20000000
805,805,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,500000
806,806,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Diabetes,500000
807,807,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,500000
808,808,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Hypertension,500000
809,809,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,500000
810,810,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Diabetes,500000
811,811,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Hypertension,500000
812,812,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,500000
813,813,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,500000
814,814,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Others,500000
815,815,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,500000
816,816,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,500000
817,817,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,500000
818,818,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,500000
819,819,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,500000
820,820,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,500000
821,821,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,500000
822,822,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,500000
823,823,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,500000
824,824,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,500000
825,825,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,500000
826,826,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,500000
827,827,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,500000
828,828,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,500000
829,829,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Others,500000
830,830,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,500000
831,831,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Diabetes,500000
832,832,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,500000
833,833,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 2Kids,Private,Hypertension,500000
834,834,My Health Care by Bajaj Allianz,18-65,Parents,Private,Others,500000
835,835,My Health Care by Bajaj Allianz,18-65,Parents,Private,Diabetes,500000
836,836,My Health Care by Bajaj Allianz,18-65,Parents,Private,Hypertension,500000
837,837,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Others,500000
838,838,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Others,500000
839,839,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Senior Citizen,Private,Others,500000
840,840,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,500000
841,841,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Diabetes,500000
842,842,My Health Care by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,500000
843,843,Individual Health Guard - Gold by Bajaj Allianz,18-65,Senior Citizen,Private,Hypertension,500000
844,844,My Health Care by Bajaj Allianz,18-65,Self,Private,Diabetes,1000000
845,845,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Diabetes,1000000
846,846,My Health Care by Bajaj Allianz,18-65,Self,Private,Hypertension,1000000
847,847,Individual Health Guard - Gold by Bajaj Allianz,18-65,Self,Private,Hypertension,1000000
848,848,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Others,1000000
849,849,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Diabetes,1000000
850,850,Individual Health Guard - Gold by Bajaj Allianz,65-75,Self,Private,Hypertension,1000000
851,851,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self,Private,Others,1000000
852,852,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Others,1000000
853,853,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Others,1000000
854,854,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse,Private,Others,1000000
855,855,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,1000000
856,856,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Diabetes,1000000
857,857,My Health Care by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,1000000
858,858,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse,Private,Hypertension,1000000
859,859,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,1000000
860,860,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,1000000
861,861,Bajaj Health Guard - Platinum by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Others,1000000
862,862,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,1000000
863,863,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Diabetes,1000000
864,864,My Health Care by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,1000000
865,865,Health Guard Family Floater - Gold by Bajaj Allianz,18-65,Self and Spouse and 1Kid,Private,Hypertension,1000000
